Address1,Address2,Style,Price,Beds,Baths,Sqft
Towne West,"Fayetteville, AR 72704",Apartment,2400,3,3,1750
101 Bishop Dr,"Easley, SC 29640",House,1650,3,2,1500
645 Exmoor Dr,"Goodlettsville, TN 37072",Townhome,2100,3,2.5,1788
6100 Ashbury St # 9313,"North Richland Hills, TX 76180",Apartment,1445,1,1,784
9834 Racine St Unit B,"Houston, TX 77029",Apartment,1350,3,1,875
3600 W Player Ln,"Fayetteville, AR 72704",Apartment,835,1,1,544
5806 S 141st Plz,"Omaha, NE 68137",Apartment,897,1,1,672 - 750
903 Rooms for Rent in Mini Mansion W/Pool Unit Wifi,"Monroe, NC 28112",House,549,1,1,1000
4975 S 131st St,"Omaha, NE 68137",House,1700,4,2,1262
3415 W Clabber Creek Blvd Unit 1,"Fayetteville, AR 72704",Apartment,1700,3,2.5,1716
572 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2054
3319 Sweetwater Way Unit 1,"Sherman, TX 75090",Apartment,1845,3,2,1450
821 N East St,"Sherman, TX 75090",House,1550,3,2,1168
100 Robert Cartwright Dr,"Goodlettsville, TN 37072",Apartment,989,1,1,792
5902 Antonio Pl,"Seguin, TX 78155",House,1825,3,2,1266
912 E Mimosa St,"Rogers, AR 72756",Other,1450,2,2,1500
1201 E Broadway Ave Apt B,"Enid, OK 73701",House,625,1,1,956
4199 W Santa Fe St Unit A,"Fayetteville, AR 72704",Other,2400,3,3.5,1736
4222 Bernice St Apt C,"Haltom City, TX 76117",Condo,1200,3,1,722
113 S 7th St,"Easley, SC 29640",House,1000,2,1,1116
12230 Anne St,"Omaha, NE 68137",Apartment,955,2,1,850
303 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
1717 Houston St,"Fort Smith, AR 72901",Apartment,900,2,1,1050
2217 Louise St,"Seguin, TX 78155",House,1400,3,1.5,1490
1009 Southridge Dr,"Monroe, NC 28112",House,2299,4,2.5,
330 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
941 N Carolina,"Wilkesboro, NC 28697",House,950,2,1,860
3704 Aurora St,"Haltom City, TX 76117",House,2205,4,2,1390
2001 Moss St,"North Little Rock, AR 72114",Apartment,650,1,1,816
2939 W 6th St,"Jacksonville, FL 32254",House,1450,3,2,1269
508 Pitts St,"Seguin, TX 78155",House,1399,3,1,973
104 Amelia Ct,"Goodlettsville, TN 37072",House,2150,3,2,1591
5301 Springlake Pkwy,"Haltom City, TX 76117",Condo/Townhome,1034,1,1,660
6715 Buenos Aires Dr # 2033,"North Richland Hills, TX 76180",Apartment,1124,1,1,660
1055 Ridgecrest Dr,"Goodlettsville, TN 37072",House,3900,Studio,,21439
5063 Columbus Ave,"Jacksonville, FL 32254",House,1250,3,1,1152
162 Vail Ct,"Sanford, NC 27332",House,1920,4,3,2124
5813 Texas Spur Unit 1,"Seguin, TX 78155",Apartment,1950,4,2,1627
3141 Highway 74 # 74-2421,"Monroe, NC 28112",House,1495,Studio,,
8500 Harwood Rd N,"North Richland Hills, TX 76180",Apartment,1935,3,2,1135
902 E 11th Ave,"Hutchinson, KS 67501",Apartment,475,Studio+,1,450
4859 S 132nd Ave,"Omaha, NE 68137",Apartment,985,2,1,850
175 Silverthorne Dr,"Sanford, NC 27332",House,1725,3,2,
104 Cole Ln,"Rainbow City, AL 35906",House,1250,3,2,1344
3246 Warrington St,"Jacksonville, FL 32254",House,1300,2,1,952
401 E Ave,"Hutchinson, KS 67501",Apartment,490,Studio,1,250
19 Sunset Dr,"Hutchinson, KS 67502",House,875,3,1,960
2100 S V St,"Fort Smith, AR 72901",House,1295,2,1.5,1314
3644 Alvina Ave,"Warren, MI 48091",House,1300,3,1.5,1100
8628 Summer Tree Ln,"North Richland Hills, TX 76180",House,2500,3,2,1700
1603 W Walnut St,"Rogers, AR 72756",Apartment,Contact For Price,2-Jan,1,654 - 810
323 S 6th St,"Van Buren, AR 72956",Apartment,750,2,1,
4700 Garden Pond Dr,"Glen Allen, VA 23059",Apartment,2480,3,2,1439
233 Sandy Oaks Dr,"Seguin, TX 78155",Other,1700,3,2,1848
6100 Ashbury St # 7304,"North Richland Hills, TX 76180",Apartment,1445,1,1,784
15363 Holmes Plz,"Omaha, NE 68137",Apartment,Contact For Price,2-Jan,2-Jan,800 - 1100
103 E Lewelling Blvd Apt 2,"San Lorenzo, CA 94580",Apartment,2400,2,2,780
6715 Buenos Aires Dr # 2079,"North Richland Hills, TX 76180",Apartment,1468,2,2,950
798 N Honey Locust Bnd,"Fayetteville, AR 72704",House,1395,2,2,694
5709 E Belknap St Apt 1028,"Haltom City, TX 76117",Apartment,1077,Studio,1,327
5944 Texas Spur Unit 1,"Seguin, TX 78155",Apartment,1850,3,2,1440
916 N Throckmorton St Unit 918,"Sherman, TX 75090",Other,1525,3,2,1255
207 St Christopher St,"Rainbow City, AL 35906",Apartment,963,2,2,
4801 S 31st St,"Fort Smith, AR 72901",Apartment,675,1,1,600
5816 Antonio Pl,"Seguin, TX 78155",House,1825,3,2,1440
27 Mountain View Rd SE,"Rome, GA 30161",House,1950,3,2.5,1791
5210 S 24th St,"Fort Smith, AR 72901",House,1495,3,1.5,1565
167 Wolf Crest Blvd,"Seguin, TX 78155",Apartment,2050,3,2,
2100 Sidney St,"Pine Bluff, AR 71602",Apartment,575,1,1,360
1180/1182 FM 2623,"Seguin, TX 78155",Apartment,1550,3,2,
969-979 Elgin St,"San Lorenzo, CA 94580",Apartment,2945,2,1,1056 - 1105
204 S Spruce St,"North Little Rock, AR 72114",House,995,3,1.5,1350
1153 Magnolia Unit 1,"Seguin, TX 78155",Apartment,1600,3,2,980
18 Hiland Dr Unit 18HILANDDRIVE,"Fort Smith, AR 72901",Duplex/Triplex,1100,3,2,820
818 N Cleveland Ave,"Sherman, TX 75090",House,1800,3,2,1700
606 N Malbec Rd,"Fayetteville, AR 72704",House,2445,4,3.5,2036
5667 W Chattel St,"Fayetteville, AR 72704",House,1500,3,2,1136
1304 El Sol Blvd,"Sherman, TX 75090",House,2500,4,3,2216
5521 Davis Blvd,"North Richland Hills, TX 76180",Apartment,1609,3,1.5,1132
4109 Paddock Trl,"Seguin, TX 78155",House,2000,3,2,1408
690 N Littleleaf Ter,"Fayetteville, AR 72704",House,1395,2,2,694
1414 S Powell St Apt 202,"Springdale, AR 72764",Condo,695,1,1,400
318 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
6715 Buenos Aires Dr # 2061,"North Richland Hills, TX 76180",Apartment,1390,2,2,950
1213 N Sicily Ln,"Fayetteville, AR 72704",House,2000,3,3.5,1976
7913 Limerick Ln,"North Richland Hills, TX 76180",House,2930,4,2,2217
125 Sunlite Rd,"Shelbyville, TN 37160",Apartment,660,2,2,1050
1512 S 11th St,"Fort Smith, AR 72901",House,1095,2,1,975
1601 Weyland Dr # 1-2044,"North Richland Hills, TX 76180",Apartment,1134,1,1,680
7013R Shauna Dr,"North Richland Hills, TX 76180",House,2700,4,3,2307
2504-2508 Tulsa St,"Fort Smith, AR 72901",Apartment,915,2,2,1100
511 N Colbert Ave,"Sherman, TX 75090",House,1649,3,2,1170
123 College Park Cir,"North Little Rock, AR 72114",House,400,1,1,
811 N Pleasant St,"Springdale, AR 72764",Apartment,1200,2,1,780
Jenny Lind Rd,"Fort Smith, AR 72901",Apartment,775,2,1,950
1601 Weyland Dr # 2-1903,"North Richland Hills, TX 76180",Apartment,1075,1,1,568
2510 Ionia St,"Fort Smith, AR 72901",House,1495,3,2,1248
1931 W 24th St,"Emporia, KS 66801",Apartment,1500,3,3,2500
16698 Cypress Ln,"Rogers, AR 72756",Other,2800,2,2,1440
2902 Iowa St,"Perry, IA 50220",Apartment,795,2,1,960
1618 N Locust St,"North Little Rock, AR 72114",House,1100,3,1.5,1510
694 694 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2054
E Milwaukee Ave,"Storm Lake, IA 50588",Apartment,895,3,1,1008
3601 W 18th Ave,"Emporia, KS 66801",Apartment,986,4,2,1569
427 Boston Ave,"Waterloo, IA 50703",House,650,2,1,640
3839 E Embry Dr,"Fayetteville, AR 72764",House,2200,3,2,1839
103 High Mesa Ct,"Goodlettsville, TN 37072",House,2170,3,2,1484
1601 Weyland Dr # 2-0403,"North Richland Hills, TX 76180",Apartment,1718,2,2,1261
316 Erin Pl Apt 202,"Springdale, AR 72764",Condo,1100,2,1,974
611 Tennyson St Rupple Row Lot 102,"Fayetteville, AR 72704",House,2400,4,3.5,1890
425 W Center St,"Sherman, TX 75090",House,1750,2,2,1050
1601 Weyland Dr # 3-0381,"North Richland Hills, TX 76180",Apartment,1160,1,1,983
620 Grayson Ln,"Seguin, TX 78155",Apartment,1625,3,2,1372
682 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2002
1201 E Broadway Ave Apt J,"Enid, OK 73701",House,700,1,1,
524 Front St,"Logansport, IN 46947",Apartment,899,2,1,700
2578 N Ward Dr,"Fayetteville, AR 72704",Other,2200,3,2.5,1920
1106 E Chaffin St,"Sherman, TX 75090",House,1000,2,1,1918
8500 Harwood Rd N,"North Richland Hills, TX 76180",Apartment,1050,1,1,700
5805 Bertha Ln,"Haltom City, TX 76117",House,1450,2,1,720
720 N Honey Locust Bnd,"Fayetteville, AR 72704",House,1395,2,2,694
110 W 6th Ave,"Emporia, KS 66801",Apartment,455,Studio,1,430
4201 City Point Dr W,"North Richland Hills, TX 76180",Apartment,3108,2,2,1097
630 W Riverfront Dr Unit 201B,"North Little Rock, AR 72114",Apartment,1250,2,2,1150
2905 Alabama Ave,"Fort Smith, AR 72901",Apartment,550,1,1,712
7559 Studebaker-7559 Studebaker Unit 2,"Warren, MI 48091",Apartment,700,1,1,300
149 Idylwild Dr Unit 1,"Ridgedale, MO 65739",Apartment,15000,7,5,7584
11025 M St,"Omaha, NE 68137",Apartment,885,Studio,1,565
1437 S Rusk St,"Sherman, TX 75090",House,1200,2,1,945
807 Belmont Ave Apt I,"Shelbyville, TN 37160",Apartment,1100,2,1,650
315 E 4th St,"Sedalia, MO 65301",Apartment,1350,1,1,
6715 Buenos Aires Dr # 2047,"North Richland Hills, TX 76180",Apartment,1123,1,1,660
1530 Eastridge Pkwy,"Seguin, TX 78155",House,1700,3,2,1393
1600 Nolte Farms Dr,"Seguin, TX 78155",House,1550,3,2,1442
221 Fairway Ave,"Monett, MO 65708",Apartment,400,2-Jan,1,
730 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2002
509 Oak Cir,"Easley, SC 29640",House,2600,4,2.5,
313 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
3009 S S St Unit 1,"Fort Smith, AR 72901",Apartment,995,3,1,1020
1915 S R St,"Fort Smith, AR 72901",Apartment,625,2,1,830
1910 N Grand St,"Enid, OK 73701",House,2000,2,1,
10985 Roxbury Plz,"Omaha, NE 68137",Apartment,1050,2,2,1075
608 Black Oak Ave,"Springdale, AR 72764",Apartment,775,1,1,600
900 W 16th St Apt 1,"North Little Rock, AR 72114",Apartment,795,1,1,900
4167 W Sardinia Way,"Fayetteville, AR 72704",House,2000,3,3.5,1976
811 Kiefer Field Ct,"Glen Allen, VA 23059",House,2300,4,2.5,2320
609 N 13th St,"Enid, OK 73701",House,450,2,1,1080
1904 Allen St Unit 2,"North Little Rock, AR 72114",Apartment,500,1,1,600
538 N Keats Dr Unit 1,"Fayetteville, AR 72704",Apartment,2100,3,3.5,1980
223 Madison St,"Waterloo, IA 50703",House,750,2,1,816
1117 S Rusk St,"Sherman, TX 75090",House,1200,2,1,956
694 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2054
115 N Carolina St,"Houston, TX 77029",House,1475,3,1,1170
120 N Hinsdale Ave,"Fayetteville, AR 72704",House,1850,3,2,1408
3810 S Thompson Ave Unit 25,"Springdale, AR 72764",House,925,2,1,
6424 Iron Horse Blvd # 12F,"North Richland Hills, TX 76180",Apartment,1427,2,2,884
2552 N Tavistock Ct,"Fayetteville, AR 72704",House,2500,4,2,2164
8515 Boulevard 26,"North Richland Hills, TX 76180",Apartment,1645,2,2,1013
2019 E Eucalyptus Ave,"Enid, OK 73701",House,725,2,1,
1102 Laurentide St,"Houston, TX 77029",House,1560,3,2,1984
912 S 19th St Apt A,"Fort Smith, AR 72901",Condo,600,3,1,
306 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
1320 W 24th St,"North Little Rock, AR 72114",Condo,900,2,1,
726 E Emma Ave,"Springdale, AR 72764",Apartment,995,1,1,554
7731 N College Cir # 7788A,"North Richland Hills, TX 76180",Apartment,1307,2,2,1067
1-A E 11th St,"Rome, GA 30161",Apartment,850,2,1,
652 N Malbec Rd,"Fayetteville, AR 72704",House,2445,4,3.5,1803
969-979 Elgin St,"San Lorenzo, CA 94580",Apartment,2795,2,1,1056 - 1105
1010 1010 and 1012 N Turtle Creek Dr,"Rogers, AR 72756",Apartment,1295,2,1,1040
937 Conger St,"Waterloo, IA 50703",House,695,2,1,960
5105 Abby Dr,"North Richland Hills, TX 76180",House,1950,3,2,1469
553 N Rupple Rd,"Fayetteville, AR 72704",House,1850,3,2.5,2000
1510 E Broadway Ave,"Enid, OK 73701",Apartment,615,1,1,850
4205 Rufe Snow Dr,"North Richland Hills, TX 76180",Apartment,1509,2,2,920
232 Pennington Ave SW,"Rome, GA 30161",House,1850,3,2,1350
1505 Linda Dr,"Sherman, TX 75090",House,1850,3,2,1510
169 Little Pond Rd,"Easley, SC 29640",House,1350,3,2,
7731 N College Cir # 7756C,"North Richland Hills, TX 76180",Apartment,1437,2,2,1067
316 Erin Pl Apt 102,"Springdale, AR 72764",Condo,1100,2,1,974
620 S Charles St Unit 622,"Sherman, TX 75090",Other,1475,4,2,1415
6424 Iron Horse Blvd # 05P,"North Richland Hills, TX 76180",Apartment,1147,1,1,700
298 E Compass Way,"Easley, SC 29640",Townhome,1799,3,2.5,1729
75 Riverfront Dr,"North Little Rock, AR 72114",Apartment,906,1,1,695
1408 Christy Dr Apt D,"Springdale, AR 72764",Other,950,2,1.5,1088
150 Ashlea Gdns,"New Holland, PA 17557",Apartment,1060,1,1,750
2939 W 12th St,"Jacksonville, FL 32254",House,1050,3,1,828
2873 W 6th St,"Jacksonville, FL 32254",Apartment,750,2,1,640
1601 Weyland Dr # 1-1112,"North Richland Hills, TX 76180",Apartment,1469,2,1,933
7731 N College Cir # 7721B,"North Richland Hills, TX 76180",Apartment,1515,2,2,1067
1322 A Q Cir,"Springdale, AR 72764",Apartment,850,1,1,
,,House,1200,1,1,800
311 W 5th St,"Lexington, NE 68850",Apartment,950,1,1,
766 N Honey Locust Ave,"Fayetteville, AR 72704",House,1395,2,2,694
4311 W Barhem Dr,"Fayetteville, AR 72704",House,1850,3,2,1556
355 Pine Meadow Rd,"Seguin, TX 78155",Other,1700,3,2,1920
1623 Franklin St,"Waterloo, IA 50703",House,725,2,1,1072
21516 Dequindre Rd,"Warren, MI 48091",Apartment,900,2,1,950
1153 Magnolia St,"Seguin, TX 78155",Duplex/Triplex,1600,3,2,980
5921 Antonio Pl,"Seguin, TX 78155",House,1995,3,2,1440
1601 Weyland Dr # 3-0124,"North Richland Hills, TX 76180",Apartment,1524,2,1,933
3001 Jane Ln,"Haltom City, TX 76117",Apartment,1100,1,1,676
7708 Deaver Dr,"North Richland Hills, TX 76180",House,2130,3,2,1758
222 222 and 224 W Iowa,"Enid, OK 73701",Apartment,575,1,1,
601 W 7th Ave,"Easley, SC 29640",Apartment,1350,2,2,950
3030 U S,"Wilkesboro, NC 28697",House,2000,3,2,
718 718 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2054
760 N Honey Locust Bnd,"Fayetteville, AR 72704",House,1395,2,2,694
3042 4th Street Cir,"Jacksonville, FL 32254",House,1600,3,2,1686
1082 Melson Ave,"Jacksonville, FL 32254",House,1520,3,2,1300
2605 W Olive St,"Rogers, AR 72756",Apartment,1300,2,2,1100
16201 Hesperian Blvd,"San Lorenzo, CA 94580",Apartment,1850,2-Jan,1,
815 Mackinaw St,"Jacksonville, FL 32254",House,1283,3,2,1332
3510 Bougainvillea St,"Jacksonville, FL 32254",Condo,1150,3,3,
5019B S 28th St,"Fort Smith, AR 72901",House,1000,2,1,994
7988 Ridgewood Rd,"Goodlettsville, TN 37072",House,3000,4,2,3000
7731 N College Cir # 7705G,"North Richland Hills, TX 76180",Apartment,1044,1,1,727
3702-B Locksley St,"Springdale, AR 72764",Apartment,1550,3,2,1477 - 1483
702 Algoma St,"New London, WI 54961",Apartment,695,1,1,
113R Shevel Dr,"Goodlettsville, TN 37072",House,2860,4,2,2036
1709 S 12th St,"Fort Smith, AR 72901",Apartment,595,2,1,800
6490 Iron Horse Blvd,"North Richland Hills, TX 76180",Apartment,1399,Studio,1,605
8600 Leighton Ave,"Lincoln, NE 68507",Apartment,950,3,2,1307
217 S Lamine Ave,"Sedalia, MO 65301",Apartment,1350,1,1,
1602 S Brown Ave,"Sedalia, MO 65301",Duplex/Triplex,975,2,1,1080
1606 Cedar St Unit B,"Van Buren, AR 72956",Apartment,800,2,2.5,1050
2007-2009 S Q St,"Fort Smith, AR 72901",Apartment,750,2,1,
1125 N Harrison Ave,"Sherman, TX 75090",Other,1200,2,1,1275
2212 Savannah St,"Fort Smith, AR 72901",Apartment,1060,2,1,916
905 S 19th St,"Fort Smith, AR 72901",House,1295,3,2,1158
500 Pine St,"Waterloo, IA 50703",Apartment,800,2,1,1216
2435 S 47th St,"Kansas City, KS 66106",House,799,2,1,1104
2935 W 24th Ave,"Emporia, KS 66801",Apartment,595,1,1,702
429 and 433 Branham Ave,"Rome, GA 30161",Apartment,895,2,1,
1601 Weyland Dr # 3-0154,"North Richland Hills, TX 76180",Apartment,1052,1,1,752
326 E Compass Way,"Easley, SC 29640",Townhome,1749,3,2.5,1634
813 N Pleasant St Apt F,"Springdale, AR 72764",Condo,850,2,1,750
1520 S Osage Ave Apt B,"Sedalia, MO 65301",Apartment,1250,3,2,
801 W Cedar St,"Lexington, NE 68850",Apartment,1025,1,1,692
1616 W 18th St,"North Little Rock, AR 72114",Apartment,595,1,1,540
1402 Willis Ave Apt 2,"Perry, IA 50220",Condo,830,3,1,1114
5832 Antonio Pl,"Seguin, TX 78155",House,2150,3,2,1440
1603 N Oakhaven Pl,"Fayetteville, AR 72704",House,2400,3,2,1526
1615 Maple St,"North Little Rock, AR 72114",House,1050,3,1,1130
794 N Honey Locust Bnd,"Fayetteville, AR 72704",House,1395,2,2,694
3809 W River Bend Dr,"Fayetteville, AR 72704",House,2325,4,2.5,2047
117 E Main St Apt 4,"New Holland, PA 17557",Condo,550,1,2,
3810 S Thompson Ave Unit 35,"Springdale, AR 72764",House,1000,2,1,
821 N East 75090 St Unit Sherman,"Sherman, TX 75090",House,1550,3,2,1168
1701 S West End St,"Springdale, AR 72764",Apartment,825,1,1,600 - 692
5101 Springlake Pkwy,"Haltom City, TX 76117",Condo/Townhome,1419,2,2,1041
811 Vestal St,"Storm Lake, IA 50588",House,2500,3,2,980
825 S Rupple Rd Unit 1,"Fayetteville, AR 72704",Other,3200,4,4.5,2032
1601 Weyland Dr # 2-1805,"North Richland Hills, TX 76180",Apartment,1885,2,2,1261
400 Arkadelphia Rd NE,"Hanceville, AL 35077",Apartment,Contact For Price,,,
312 Lester St,"Waterloo, IA 50703",House,775,2,1,682
9600 Links Way Apt K,"Glen Allen, VA 23059",House,1700,2,2,1150
1300 South Park Way # LP541,"Sanford, NC 27332",Apartment,1537,2,2,1147
1601 Weyland Dr # 2-1602,"North Richland Hills, TX 76180",Apartment,1170,1,1,874
2303 Sidney Ln,"Sherman, TX 75090",House,2100,3,2,1680
226 W Cedar St,"Goodlettsville, TN 37072",Apartment,1700,1,1,1490
24 Woodland Dr,"Pine Bluff, AR 71602",House,895,3,1,912
220 Curtis Sykes Dr,"North Little Rock, AR 72114",House,650,2,1,750
4282 Cactus Pl,"Fayetteville, AR 72704",House,2600,3,2,1850
645 Wyoming St,"Waterloo, IA 50703",House,595,1,1,480
2321 Orchard St,"Springdale, AR 72764",Apartment,845,2,2,745
6601 S 108th Ct,"Omaha, NE 68137",Apartment,875,1,1,692
804 E Orange St Unit 1,"Sherman, TX 75090",Apartment,1525,3,1,1236
904 W 23rd St,"North Little Rock, AR 72114",House,1395,3,2,1250
500 Pine St,"Waterloo, IA 50703",Apartment,700,1,1,608
6715 Buenos Aires Dr # 1008,"North Richland Hills, TX 76180",Apartment,1463,2,1,855
2301 S V St,"Fort Smith, AR 72901",Apartment,600,2,1,795
6178 W Limerick Way,"Fayetteville, AR 72704",House,2000,3,2,1530
644 N Salem Rd,"Fayetteville, AR 72704",House,2895,4,3.5,2002
333 Northcreek Blvd,"Goodlettsville, TN 37072",Apartment,2107,3,2-Jan,
7284 Orchard Ave Unit 1,"Warren, MI 48091",Apartment,1300,3,1,
459 Becky Allen Cir,"Rainbow City, AL 35906",House,900,3,1.5,
1517 Electric Ave,"Springdale, AR 72764",Apartment,1268,2,2,960
1900 N Severance St Apt 7,"Hutchinson, KS 67502",Apartment,850,1,1,
2312 Victoria Dr,"Kansas City, KS 66106",Apartment,1025,2,1,842
5 Esplanade Cir,"North Little Rock, AR 72114",Apartment,1669,2,2,1528
728 Newton Ave,"Seguin, TX 78155",House,1595,3,2,1298
1326 S Travis St Unit 1328,"Sherman, TX 75090",Other,1050,2,1,956
1503-A Maple St,"Rome, GA 30161",Apartment,675,1,1,
1439 Barnes Dr,"Seguin, TX 78155",Apartment,1605,3,2,1050
3820 Melrose Trl,"Sherman, TX 75090",House,2495,3,2,2141
5001 Hickory Park Dr,"Glen Allen, VA 23059",Apartment,1047,1,1,595
500 N 7th St,"Rogers, AR 72756",Apartment,1100,2,1,952
111 Sanders St,"Shelbyville, TN 37160",House,1750,3,2,1387
102 Pacific Ave,"Shelbyville, TN 37160",House,2200,3,2,2171
294 E Compass Way,"Easley, SC 29640",Townhome,1749,3,2.5,1634
157 Willow Branch Ave,"Jacksonville, FL 32254",House,1245,2,1,
1206 Sycamore St,"Monroe, NC 28112",House,1835,3,2,2428
321 E 1st St,"Waterloo, IA 50703",Apartment,675,1,1,645
6100 Ashbury St # 5215,"North Richland Hills, TX 76180",Apartment,1820,2,2,1131
4100 W Chantilly Dr,"Fayetteville, AR 72704",House,1950,3,2,1485
2871 W Hillshire Dr,"Fayetteville, AR 72704",Condo,1200,2,2.5,1213
7731 N College Cir # 7778D,"North Richland Hills, TX 76180",Apartment,1044,1,1,727
5709 E Belknap St Apt 1083,"Haltom City, TX 76117",Apartment,1125,Studio,1,327
1601 Weyland Dr # 1-2091,"North Richland Hills, TX 76180",Apartment,1745,2,2,1146
312 Northridge Dr,"Van Buren, AR 72956",House,1700,4,2,1677
5835 Antonio Pl,"Seguin, TX 78155",House,1970,4,2,1627
207 N 37th St,"Van Buren, AR 72956",Apartment,550,1,1,554
5312 Susan Lee Ln,"North Richland Hills, TX 76180",House,2100,3,2,1796
109 E 5th Ave,"Hutchinson, KS 67501",Apartment,425,1,1,
709 Ray St,"Sherman, TX 75090",House,2100,4,2,2022
5501 Wynwood Dr,"North Richland Hills, TX 76180",House,2900,4,2,2002
907 Maple Ave SW Apt 3,"Rome, GA 30161",House,950,1,1,
4234 W Eisenhower Pl,"Fayetteville, AR 72704",Apartment,1600,3-Feb,2.5,1090 - 1289
2420 S Q St,"Fort Smith, AR 72901",Apartment,750,2,1,1126
6100 S Wilkerson St,"Fayetteville, AR 72704",Apartment,850,2,1,625
8747 Josie St,"Houston, TX 77029",House,1475,3,1,950
6100 Ashbury St # 7201,"North Richland Hills, TX 76180",Apartment,1735,2,2,1131
608 Black Oak Ave,"Springdale, AR 72764",Apartment,975,2,2.5,1075
694 N Littleleaf Ter,"Fayetteville, AR 72704",House,1395,2,2,694
600 Hunley St,"Monroe, NC 28112",House,2195,4,2.5,2805
121 Oneida St,"Waterloo, IA 50703",House,600,1,1,528
2657 N Brush Creek Dr,"Fayetteville, AR 72704",House,1750,3,2,1450
3072 W 19th St,"Jacksonville, FL 32254",House,1300,3,2,1166
902 N 27th St,"Van Buren, AR 72956",House,725,2,1,1078
176 Castlebay Dr,"Sanford, NC 27332",House,2100,4,3,2311
806 N Throckmorton St Unit 1,"Sherman, TX 75090",Apartment,1495,3,2,1255
420 Sunshine St Unit 14602273,"Jacksonville, FL 32254",House,1250,3,2,1050
6100 Ashbury St # 7205,"North Richland Hills, TX 76180",Apartment,1470,1,1,726
221 Lane Pkwy,"Shelbyville, TN 37160",House,2500,Studio,0.5+,2190
311 Tate Cir,"Sherman, TX 75090",House,2000,3,2,1851
1200 Whittier Place Ln,"Emporia, KS 66801",Apartment,1365,3,1,1170
1216 N Harrison Ave,"Sherman, TX 75090",House,1295,3,2,1167
969 Elgin St,"Ashland, CA 94580",Apartment,2795,2,1,1056
1128 1128 Stanley Way,"Seguin, TX 78155",Apartment,1675,3,2,1372
11025 M St,"Omaha, NE 68137",Apartment,1460,2,2,1143
4346 W Thrasher Dr,"Fayetteville, AR 72704",Apartment,1295,3,2,1205
6100 Ashbury St,"North Richland Hills, TX 76180",Apartment,1364,1,1,726
1094 Hood Ave,"Jacksonville, FL 32254",House,1435,Studio,,1224
1722 S Grand Ave,"Sedalia, MO 65301",House,1195,2,1,1000
2504 Tulsa St,"Fort Smith, AR 72901",Apartment,915,2,2,1100
1151 Magnolia Unit 1,"Seguin, TX 78155",Apartment,1600,3,2,980
622 N 19th St Apt 2,"Fort Smith, AR 72901",Apartment,600,1,1,350
30 Dry Creek Rd,"Goodlettsville, TN 37072",Apartment,1171,3,2,1315
4385 Frazho Rd,"Warren, MI 48091",Apartment,953,1,1,700
2922 Field St,"Haltom City, TX 76117",House,2000,4,2,2108
5806 S 141st Plz,"Omaha, NE 68137",Apartment,911,1,1,672 - 750
5201 Playa Dr,"Sherman, TX 75090",House,2650,3,4,2341
405 W Donald St,"Waterloo, IA 50703",Apartment,700,1,1,750
1322 Maple St Unit A,"North Little Rock, AR 72114",Apartment,925,Studio+,1,1300
804 E Orange St,"Sherman, TX 75090",House,1525,3,1,1236
5903 Samantha St Unit A,"Fayetteville, AR 72704",House,1250,2,1.5,1034
1300 Cedar Cove Rd Unit 1,"Lincoln, NE 68505",Townhome,2100,3,2.5,1739
405 W Donald St,"Waterloo, IA 50703",Apartment,950,3,2,960
101 E Walnut St Ste 213,"Rogers, AR 72756",Condo,1595,1,1,777
1601 Weyland Dr # 1-1098,"North Richland Hills, TX 76180",Apartment,1738,2,2,1146
6424 Iron Horse Blvd # 05L,"North Richland Hills, TX 76180",Apartment,1192,1,1,700
3325 Willowcrest Dr,"North Richland Hills, TX 76117",Apartment,1667,3,2,1363
5466 Overcrest Ave,"Springdale, AR 72764",House,1600,3,2,1332
6715 Buenos Aires Dr,"North Richland Hills, TX 76180",Apartment,1392,2,2,950
6100 Ashbury St # 9207,"North Richland Hills, TX 76180",Apartment,1840,2,2,1131
108 E Shore Dr,"Russellville, AR 72802",House,1300,3,2,1680
1601 Weyland Dr # 1-1009,"North Richland Hills, TX 76180",Apartment,1613,2,2,1146
2520 E Washington Ave,"North Little Rock, AR 72114",House,1025,3,1,1028
1017 S 19th St,"Fort Smith, AR 72901",Apartment,750,2,1,1000
2372 W Jane Circle Dr,"Fayetteville, AR 72704",House,1595,3,2.5,1620
820 N N St,"Fort Smith, AR 72901",Apartment,550,2,1,
1601 Weyland Dr # 2-1301,"North Richland Hills, TX 76180",Apartment,1221,1,1,874
1924 Moss St Unit B,"North Little Rock, AR 72114",Apartment,550,1,1,675
12775 Woodcrest Plz,"Omaha, NE 68137",Apartment,1025,2,2-Jan,1000 - 1100
